Saved Date,Job Url,Job Title,Company Name
"10/3/23, 12:07 PM",http://www.linkedin.com/jobs/view/3725799495,Chargé de recherche veille technologique et économique,LGD France
"2/26/23, 5:52 AM",http://www.linkedin.com/jobs/view/3438187797,"Scientific Associate France / Attaché(e) Scientifique (affaires médicales), France",Jazz Pharmaceuticals
"10/5/23, 1:36 AM",http://www.linkedin.com/jobs/view/3727865249,Clinical Project Coordinator - Entry Level,Medpace
"10/1/23, 1:13 PM",http://www.linkedin.com/jobs/view/3725102975,Global Medical Affairs Scientists,bioMérieux
"10/1/25, 1:27 PM",http://www.linkedin.com/jobs/view/4306894655,French Medical Expert | Upto $170/hr Remote,Crossing Hurdles
"9/11/24, 7:01 AM",http://www.linkedin.com/jobs/view/4004331097,Medical Science Liaison,Pharma Partners Recruitment Ltd
"8/20/19, 10:08 AM",http://www.linkedin.com/jobs/view/1126692485,Alternant – Assistant Chef de projet digital Cardiologie (H/F),Novartis
"2/6/24, 2:36 PM",http://www.linkedin.com/jobs/view/3703743967,"Responsable Médical Régional Botox Therapeutics, Grand-Est Aura",AbbVie
"11/5/24, 2:14 AM",http://www.linkedin.com/jobs/view/4062468022,RESPONSABLE COMMUNICATION,UNIBIO Laboratoire de Biologie Médicale
"10/17/23, 10:13 PM",http://www.linkedin.com/jobs/view/3735689975,MEDECIN DU TRAVAIL (H/F) - CHEF DE SERVICE,Le Vinatier - Psychiatrie Universitaire Lyon Métropole
"12/2/19, 7:24 AM",http://www.linkedin.com/jobs/view/1583069783,STAGE - Consultant(e) Santé,Concentrix Medica
"10/5/23, 1:35 AM",http://www.linkedin.com/jobs/view/3595564675,Associate Clinical Trial Manager (PhD),Medpace
"9/27/24, 7:00 AM",http://www.linkedin.com/jobs/view/3989657992,Responsable Médical Régional Oncologie f/h,Merck Healthcare
"7/15/25, 12:28 AM",http://www.linkedin.com/jobs/view/4225993269,Clinical Research Associate,CliniRx
"10/10/23, 1:17 PM",http://www.linkedin.com/jobs/view/3735136704,Représentant(e) Senior des Affaires Précliniques H/F - CDI - Trévoux,Medtronic
"11/29/23, 2:55 PM",http://www.linkedin.com/jobs/view/3748575845,"MSL, Thoracic Oncology (North of France)",Novocure
"1/24/24, 3:08 PM",http://www.linkedin.com/jobs/view/3767043228,"Associate Director, MSL",Zenas BioPharma
"6/20/25, 9:37 AM",http://www.linkedin.com/jobs/view/4233029931,Medical Scientist,i-Pharm Consulting
"7/12/24, 4:42 AM",http://www.linkedin.com/jobs/view/3965525958,EME Medical Affairs Support Specialist,bioMérieux
"11/22/24, 6:08 AM",http://www.linkedin.com/jobs/view/4055965429,Chef de Pôle Marketing Médical H/F,NAOS (Bioderma - Institut Esthederm - Etat Pur)
"8/21/19, 5:05 AM",http://www.linkedin.com/jobs/view/1380844654,Stage Affaires Médicales Cancer du Sein,Pfizer
"2/6/25, 12:25 PM",http://www.linkedin.com/jobs/view/4076937799,Expert Scientifique régional - Sud France,Jazz Pharmaceuticals
"3/11/25, 10:30 AM",http://www.linkedin.com/jobs/view/4147919282,Global Medical Advisor Microbiota - Tous genres,BIOCODEX
"7/2/24, 3:28 AM",http://www.linkedin.com/jobs/view/3940958201,RESPONSABLE MEDICAL(E) EDUCATION F/H,INNOTHERA
"2/17/25, 12:44 PM",http://www.linkedin.com/jobs/view/4062132062,Medical Advisor (Remote / Flexible),Insulet Corporation
"3/5/23, 4:45 AM",http://www.linkedin.com/jobs/view/3509042395,MSL - Chargé(e) d’évènements médicaux (H/F),Roche
"5/30/24, 4:10 PM",http://www.linkedin.com/jobs/view/3925425328,Responsable Médical Scientifique Local « Asthme » - Région Auvergne-Rhône-Alpes et Bourgogne-Franche-Comté H/F,Sanofi
"1/24/24, 11:42 AM",http://www.linkedin.com/jobs/view/3778809705,Responsable des affaires médicales,EDAP TMS
"11/6/24, 3:27 AM",http://www.linkedin.com/jobs/view/4062887763,Spécialiste des Affaires Médicales,myGwork - LGBTQ+ Business Community
"3/15/24, 6:34 AM",http://www.linkedin.com/jobs/view/3829942637,Responsable d'étude - R&D Clinical Manager (H/F),Boehringer Ingelheim
"6/3/19, 10:50 PM",http://www.linkedin.com/jobs/view/1287578256,CDD 18 mois - Ingénieur Industrialisation en Culture Cellulaire F/H - Marcy L'Etoile,bioMérieux
"12/13/24, 3:24 AM",http://www.linkedin.com/jobs/view/4075489173,MSL Immunologie - Secteur Sud,Galderma
"11/16/23, 1:56 PM",http://www.linkedin.com/jobs/view/3766548645,Medical Director,Upsilon Global
"11/14/23, 2:51 PM",http://www.linkedin.com/jobs/view/3751258026,Medical Affairs Professional (m/f/d) Hematology International Business Unit,Eli Lilly and Company
"10/11/23, 1:47 PM",http://www.linkedin.com/jobs/view/3736007794,Medical Affairs Manager,Leaman Life Sciences
"8/12/19, 5:38 AM",http://www.linkedin.com/jobs/view/1361214687,Chef de projets formation en alternance,Ipsen
"10/11/23, 1:48 PM",http://www.linkedin.com/jobs/view/3733854298,Clinical Project Manager,elemed
"11/26/24, 10:48 AM",http://www.linkedin.com/jobs/view/4077485306,Chef de Produit Neurologie et Immunologie f/h,Merck Healthcare
"11/14/23, 2:52 PM",http://www.linkedin.com/jobs/view/3759172947,"Regional Medical Director - France, Italy & Spain - Remote position",Egetis Therapeutics AB
"11/16/23, 1:57 PM",http://www.linkedin.com/jobs/view/3765200620,Responsable médical H/F,Robert Walters
"6/27/24, 9:44 PM",http://www.linkedin.com/jobs/view/3919526867,Medical manager,Sanofi
"3/5/25, 6:38 AM",http://www.linkedin.com/jobs/view/4138985467,,
"7/19/24, 2:38 AM",http://www.linkedin.com/jobs/view/3970420932,Medical Affairs Coordinator (Remote / Flexible),Insulet Corporation
"1/24/24, 9:11 AM",http://www.linkedin.com/jobs/view/3769027652,Medical Science Liaison Location East France Recordati Rare Diseases,Recordati
"11/29/23, 2:55 PM",http://www.linkedin.com/jobs/view/3772378249,MSL Oncology,Daiichi Sankyo France
"3/1/23, 4:49 AM",http://www.linkedin.com/jobs/view/3470024729,Responsable Scientifique Régional - MSL (F/H),Dr. Schär
"8/20/24, 10:37 AM",http://www.linkedin.com/jobs/view/3354880751,Partenaire Parcours de Soins Médicaux - Parcours Sein (S08 - BFC/Auvergne) (H/F),Roche
"4/15/25, 11:10 AM",http://www.linkedin.com/jobs/view/4097658347,"Responsable Médical Régional, Hématologie, Lyon",AbbVie
